Wavelength(nm)	R	G	B
459	0.00557963250522862	0.0398211383265330	0.801679675731815
460	0.00558245560886026	0.0450104375280365	0.809447806104204
461	0.00558527871249190	0.0501997367295399	0.807780785031663
462	0.00558810181612354	0.0553890359310434	0.803268284221684
463	0.00559092491975519	0.0618956247237728	0.798755783411706
464	0.00559374802338683	0.0689536107342485	0.794243282601728
465	0.00559657112701847	0.0760115967447242	0.789730781791749
466	0.00559939423065011	0.0830695827551999	0.785218280981771
467	0.00560764079679620	0.0907291339081545	0.780705780171793
468	0.00612655022834644	0.109080997060060	0.776193279361814
469	0.00664545965989668	0.127432860211965	0.771620561239044
470	0.00716436909144692	0.147250199064017	0.766523654829873
471	0.00768327852299715	0.167214729491476	0.761426748420701
472	0.00820218795454739	0.187179259918936	0.756329842011530
473	0.00872109738609763	0.223215819756026	0.751232935602359
474	0.00924000681764787	0.269895096327353	0.746136029193187
475	0.00975891624919810	0.297888701837158	0.742916717052032
476	0.0102778256807483	0.315510549541282	0.739833830749713
477	0.0107967351122986	0.344206130356855	0.736750944447394
478	0.0113156445438488	0.389300426754502	0.733668058145075
479	0.0118345539753991	0.438187146917554	0.730585171842756
480	0.0121414338301882	0.467759132081576	0.727502285540437
481	0.0122733142541999	0.497653858836892	0.724419399238118
482	0.0124051946782116	0.546861812385308	0.716817800489474
483	0.0125370751022233	0.585768071611907	0.708746599587105
484	0.0126689555262350	0.618266044817059	0.700675398684736
485	0.0128008359502468	0.644559407362424	0.692604197782368
486	0.0129327163742585	0.678584110834597	0.684532996879999
487	0.0130645967982702	0.698741013261299	0.676461795977630
488	0.0131964772222819	0.715051823825858	0.668390595075261
489	0.0133283576462936	0.749254195841538	0.659224897347627
490	0.0134602380703053	0.782092020000899	0.646621133678979
491	0.0135921184943171	0.799386938326192	0.634017370010331
492	0.0137058892077456	0.816681856651485	0.621413606341683
493	0.0136334178670374	0.828008272040340	0.608809842673036
494	0.0135609465263291	0.836205279302921	0.596438076779121
495	0.0134884751856209	0.844402286565501	0.584080634566980
496	0.0134160038449126	0.852599293828082	0.571723192354840
497	0.0133435325042044	0.860796301090662	0.557825815459503
498	0.0132710611634961	0.868173239352858	0.536223543822448
499	0.0131985898227879	0.874414188424202	0.514621272185394
500	0.0131261184820797	0.880655137495546	0.495138668590984
501	0.0130536471413714	0.886896086566890	0.475801125489963
502	0.0129811758006632	0.893137035638234	0.458726417341484
503	0.0129087044599549	0.899377984709578	0.442613395114495
504	0.0128362331192467	0.905572678721722	0.426500372887506
505	0.0135439237634027	0.911445323615768	0.410387350660517
506	0.0147074054245274	0.917317968509813	0.392911771209032
507	0.0158708870856521	0.923190613403859	0.375343817337472
508	0.0170343687467768	0.929063258297904	0.358425835160216
509	0.0181978504079015	0.934935903191950	0.342634812971459
510	0.0193613320690262	0.940808548085996	0.326843790782701
511	0.0205248137301509	0.947160886594153	0.311052768593944
512	0.0216882953912756	0.954414015113595	0.298876600678191
513	0.0228517770524002	0.961667143633036	0.286956537974484
514	0.0240152587135249	0.968920272152478	0.275036475270778
515	0.0251787403746496	0.976173400671919	0.263116412567071
516	0.0263422220357743	0.980965746382701	0.249740045861829
517	0.0273552636661206	0.985724309787026	0.235726157645729
518	0.0275946736533637	0.990482873191350	0.221891911455839
519	0.0278340836406067	0.995241436595675	0.213419358824484
520	0.0280734936278498	1	0.204946806193129
521	0.0283129036150929	0.996346527946860	0.196474253561774
522	0.0285523136023360	0.990074355277758	0.188001700930419
523	0.0287917235895791	0.983802182608655	0.179496742040443
524	0.0290311335768222	0.977530009939553	0.170980565690902
525	0.0292705435640653	0.970097069358030	0.162464389341362
526	0.0295099535513083	0.961208112245343	0.153905827088144
527	0.0297493635385514	0.952319155132656	0.141778733990539
528	0.0299887735257945	0.944352517800544	0.129651640892933
529	0.0302281835130376	0.940077144376683	0.117524547795328
530	0.0296585742837822	0.935801770952823	0.112504300488445
531	0.0287465585789838	0.931526397528962	0.109085994736273
532	0.0278345428741854	0.927251024105101	0.105667688984102
533	0.0269225271693870	0.922975650681241	0.102249383231931
534	0.0260105114645887	0.918700277257380	0.0988310774797598
535	0.0250984957597903	0.914424903833519	0.0954127717275885
536	0.0241864800549919	0.911538263551133	0.0919944659754173
537	0.0232744643501935	0.909587768741434	0.0885761602232461
538	0.0223624486453951	0.907637273931735	0.0857509483335582
539	0.0214504329405968	0.905686779122036	0.0838349049053893
540	0.0205384172357984	0.903736284312337	0.0819188614772204
541	0.0196264015310000	0.901785789502638	0.0800028180490515
542	0.0188884815705810	0.899835294692939	0.0780867746208826
543	0.0186653970027520	0.897884799883240	0.0761707311927137
544	0.0184423124349229	0.895934305073541	0.0742546877645448
545	0.0182192278670938	0.893983810263842	0.0723386443363759
546	0.0179961432992647	0.892033315454143	0.0704226009082070
547	0.0177730587314357	0.890082820644444	0.0685065574800381
548	0.0175499741636066	0.888063101937641	0.0665905140518692
549	0.0173268895957775	0.885220621614553	0.0646744706237003
550	0.0171038050279485	0.882378141291464	0.0626334581496144
551	0.0168807204601194	0.879535660968375	0.0602910608539556
552	0.0166576358922903	0.876693180645286	0.0579486635582968
553	0.0164345513244612	0.873850700322197	0.0556062662626379
554	0.0162114667566322	0.871008219999108	0.0532638689669791
555	0.0162282751996433	0.868165739676019	0.0509214716713203
556	0.0163063182500572	0.865323259352931	0.0485790743756614
557	0.0163843613004711	0.862480779029842	0.0462366770800026
558	0.0164624043508850	0.858430449026418	0.0438942797843437
559	0.0165404474012990	0.853401847941872	0.0415518824886849
560	0.0166184904517129	0.848373246857326	0.0392094851930261
561	0.0166965335021268	0.843344645772780	0.0368670878973672
562	0.0167745765525407	0.838316044688234	0.0348950022642604
563	0.0168526196029547	0.832097772976986	0.0329279594827883
564	0.0169306626533686	0.817315975348520	0.0309609167013162
565	0.0170087057037825	0.802534177720054	0.0289938739198441
566	0.0170867487541964	0.787752380091588	0.0270268311383720
567	0.0171647918046103	0.773677456421183	0.0250597883568999
568	0.0220346920054490	0.759656538252505	0.0230927455754278
569	0.0290503872907179	0.746343985576909	0.0211257027939557
570	0.0360660825759869	0.735418317221693	0.0191586600124836
571	0.0430817778612559	0.724492648866476	0.0171916172310115
572	0.0500974731465249	0.713566980511260	0.0152245744495394
573	0.0635333766835272	0.702637056781716	0.0141206949040686
574	0.0831986584506251	0.691621538490488	0.0137515767335181
575	0.102619260302054	0.680606020199260	0.0133824585629676
576	0.121303003366502	0.669590501908032	0.0130133403924171
577	0.146544612888050	0.658574983616804	0.0126442222218666
578	0.174850375792857	0.649128524461647	0.0122751040513161
579	0.202319344942834	0.640225110592865	0.0119059858807656
580	0.231040794692625	0.631321696724082	0.0115368677102151
581	0.262980299167038	0.622418282855300	0.0111677495396646
582	0.306193789245732	0.613695212948225	0.0107986313691141
583	0.349185061504693	0.605209306490217	0.0104295131985636
584	0.408477079194117	0.596723400032210	0.0100603950280131
585	0.446178090627368	0.588237493574202	0.00977790038181177
586	0.483256968487850	0.579751587116194	0.00962759516506914
587	0.519595241655405	0.571265680658186	0.00947728994832650
588	0.556319023201317	0.562779774200179	0.00932698473158387
589	0.614290088116918	0.553069711746345	0.00917667951484123
590	0.635902328802110	0.540389102004362	0.00902637429809860
591	0.652737277683905	0.527708492262380	0.00887606908135596
592	0.666505029650985	0.515027882520397	0.00872576386461333
593	0.680272781618066	0.506606660903628	0.00857545864787069
594	0.686981883156245	0.498873297154971	0.00842515343112806
595	0.692067467229349	0.491139933406315	0.00827484821438542
596	0.697153051302452	0.483406569657658	0.00812454299764279
597	0.702238635375556	0.475673205909002	0.00797423778090015
598	0.707324219448659	0.467919864232995	0.00782393256415752
599	0.712409803521763	0.459807144361611	0.00767362734741488
600	0.716323820659401	0.451694424490226	0.00760519916998093
601	0.713014932661319	0.443581704618842	0.00758145775768178
602	0.709706044663237	0.435468984747457	0.00755771634538262
603	0.706397156665154	0.423197033770217	0.00753397493308346
604	0.703088268667072	0.400570092629739	0.00751023352078431
605	0.699779380668990	0.383388292193565	0.00748649210848515
606	0.696470492670908	0.368602758276575	0.00746275069618599
607	0.693161604672825	0.353817224359585	0.00743900928388684
608	0.689852716674743	0.339031690442595	0.00741526787158768
609	0.685726856467494	0.326528238254206	0.00739152645928852
610	0.679952765049106	0.314844092224392	0.00736778504698937
611	0.674178673630719	0.303159946194579	0.00732416524446708
612	0.668404582212331	0.291475800164765	0.00718714935187046
613	0.662630490793944	0.279791654134951	0.00705013345927385
614	0.656856399375556	0.266981374802794	0.00691311756667723
615	0.651701199360478	0.252937137888647	0.00677610167408062
616	0.647352355875142	0.238892900974500	0.00663908578148400
617	0.643003512389805	0.225277855970355	0.00650206988888739
618	0.638654668904469	0.215344319838774	0.00636505399629077
619	0.634305825419133	0.205410783707193	0.00622803810369416
620	0.629956981933797	0.195477247575612	0.00609102221109754
621	0.625608138448461	0.185543711444031	0.00595400631850092
622	0.621259294963125	0.177700899505574	0.00581699042590431
623	0.616447318300838	0.170289731893948	0.00567997453330769
